Date,Not indexed,Indexed,Impressions
2026-01-07,,,2
2026-01-08,,,12
2026-01-09,,,4
2026-01-10,43,56,4
2026-01-11,43,56,3
2026-01-12,43,56,4
2026-01-13,43,56,5
2026-01-14,45,56,3
2026-01-15,45,56,3
2026-01-16,45,56,3
2026-01-17,45,56,16
2026-01-18,44,57,6
2026-01-19,44,57,0
2026-01-20,44,57,0
2026-01-21,43,58,3
2026-01-22,43,58,9
2026-01-23,43,58,2
2026-01-24,43,58,19
2026-01-25,45,56,2
2026-01-26,45,56,0
2026-01-27,45,56,1
2026-01-28,46,55,0
2026-01-29,46,55,6
2026-01-30,46,55,5
2026-01-31,46,55,5
2026-02-01,53,48,3
2026-02-02,53,48,16
2026-02-03,53,48,12
2026-02-04,53,49,7
2026-02-05,53,49,4
2026-02-06,53,49,0
2026-02-07,53,49,9
2026-02-08,63,49,2
2026-02-09,63,49,3
2026-02-10,63,49,1
2026-02-11,62,50,3
2026-02-12,62,50,6
2026-02-13,62,50,5
2026-02-14,62,50,5
2026-02-15,62,50,5
2026-02-16,62,50,4
2026-02-17,62,50,8
2026-02-18,63,49,7
2026-02-19,63,49,6
2026-02-20,63,49,2
2026-02-21,63,49,14
2026-02-22,64,49,9
2026-02-23,64,49,6
2026-02-24,64,49,6
2026-02-25,65,48,3
2026-02-26,65,48,5
2026-02-27,65,48,11
2026-02-28,65,48,5
2026-03-01,65,48,4
2026-03-02,65,48,8
2026-03-03,65,48,5
2026-03-04,69,44,11
2026-03-05,69,44,11
2026-03-06,69,44,19
2026-03-07,69,44,15
2026-03-08,77,36,18
2026-03-09,77,36,18
2026-03-10,77,36,34
2026-03-11,78,35,20
2026-03-12,78,35,42
2026-03-13,78,35,35
2026-03-14,78,35,24
2026-03-15,78,35,12
2026-03-16,80,33,25
2026-03-17,80,33,20
2026-03-18,85,28,35
2026-03-19,85,28,20
2026-03-20,85,28,22
2026-03-21,85,28,14
2026-03-22,85,28,19
2026-03-23,85,28,14
2026-03-24,85,28,15
2026-03-25,84,29,24
2026-03-26,84,29,11
2026-03-27,84,29,28
2026-03-28,84,29,21
2026-03-29,83,30,14
2026-03-30,83,30,13
2026-03-31,83,30,16
2026-04-01,83,30,18
2026-04-02,83,30,20
2026-04-03,83,30,12
2026-04-04,83,30,18
